,Method,aligned_circular_agreement,mean_abs_wrapped_error,radius_cv,noise,density_ratio,seed,k,n_points
0,DM,0.9827415476126679,0.15098963982215305,0.07859112721493101,0.0,1.5,7,10,500
1,LE,0.9754994544240503,0.17709197051507397,0.12274532383235433,0.0,1.5,7,10,500
0,DM,0.969687488228821,0.1816322894976765,0.14481330875443976,0.0,1.5,8,10,500
1,LE,0.9654688117320722,0.2030784957534931,0.13763908016813148,0.0,1.5,8,10,500
0,DM,0.9753390686704414,0.17763450109387727,0.09644982498550381,0.0,1.5,9,10,500
1,LE,0.9709978647234334,0.20574334198039151,0.11783178137657227,0.0,1.5,9,10,500
0,DM,0.9781781933183648,0.1861504931965109,0.07483740935004432,0.0,1.5,10,10,500
1,LE,0.9687179611602232,0.21667192887263115,0.10935833264433845,0.0,1.5,10,10,500
0,DM,0.9812461967368952,0.16747256771971772,0.07629342253629703,0.0,1.5,11,10,500
1,LE,0.9719472078577708,0.19091024480585753,0.12529441388439186,0.0,1.5,11,10,500
0,DM,0.9893962900189126,0.12233530502944709,0.07673635062133383,0.0,1.5,12,10,500
1,LE,0.9837661075708309,0.15003100847658957,0.09283116233628598,0.0,1.5,12,10,500
0,DM,0.9812849082126982,0.1725925912587861,0.07633906383662567,0.0,1.5,13,10,500
1,LE,0.972301427473699,0.20884454869947916,0.09715943110418777,0.0,1.5,13,10,500
0,DM,0.9839199677494328,0.1582873363076556,0.07299614835784032,0.0,1.5,14,10,500
1,LE,0.973784744508906,0.19161164896567692,0.1231304150490784,0.0,1.5,14,10,500
0,DM,0.9778960531720641,0.17535151276510602,0.07237197471044023,0.0,1.5,15,10,500
1,LE,0.9645562788706981,0.21029467539754843,0.11627165518632564,0.0,1.5,15,10,500
0,DM,0.9749068751030026,0.20337068626607055,0.07593611408499759,0.0,1.5,16,10,500
1,LE,0.9618986443458025,0.2540608261183522,0.11218836454687892,0.0,1.5,16,10,500
0,DM,0.9792265822486953,0.18031173022967356,0.07872748651097033,0.0,1.5,17,10,500
1,LE,0.9685976367390178,0.2179306343016105,0.10865188533605671,0.0,1.5,17,10,500
0,DM,0.983154251737617,0.15296059068158438,0.07885873246473629,0.0,1.5,18,10,500
1,LE,0.9761220721872298,0.1833273128627456,0.11807021856212764,0.0,1.5,18,10,500
0,DM,0.9847987243386397,0.15688363090092547,0.08072216460426737,0.0,1.5,19,10,500
1,LE,0.9768275039559545,0.18974160416685545,0.11559560343900117,0.0,1.5,19,10,500
0,DM,0.9828659676375643,0.16533620198918106,0.07395097619163137,0.0,1.5,20,10,500
1,LE,0.9765739127664271,0.1854702515520885,0.11055899859357046,0.0,1.5,20,10,500
0,DM,0.9867301323894326,0.14070151345644422,0.07441770691418553,0.0,1.5,21,10,500
1,LE,0.9798015320284096,0.16211514819335224,0.09032799720753433,0.0,1.5,21,10,500
0,DM,0.9802933497500962,0.1728803145725492,0.0766891983863316,0.0,1.5,22,10,500
1,LE,0.97247989778334,0.1936218082611699,0.10302566185770413,0.0,1.5,22,10,500
0,DM,0.9847892896622562,0.15190265671231523,0.08182440123345615,0.0,1.5,23,10,500
1,LE,0.9776984424788386,0.16297353105944437,0.10419143088317268,0.0,1.5,23,10,500
0,DM,0.9862172052899268,0.13361285540373063,0.0776369923821499,0.0,1.5,24,10,500
1,LE,0.9753970574284059,0.16564467865602378,0.12434915286558074,0.0,1.5,24,10,500
0,DM,0.9782870399381342,0.1932544073838825,0.07551980585048093,0.0,1.5,25,10,500
