,Method,aligned_circular_agreement,mean_abs_wrapped_error,radius_cv,noise,density_ratio,seed,k,n_points
0,DM,0.9733991697841988,0.202057560706496,0.07658066505526227,0.0,1.5,28,10,500
1,LE,0.9713643152514576,0.21367468879458984,0.0820111703531825,0.0,1.5,28,10,500
0,DM,0.9839863508471524,0.15756651844277342,0.08627479995187821,0.0,1.5,29,10,500
1,LE,0.9848024917127767,0.15279871615875462,0.09082919966251579,0.0,1.5,29,10,500
0,DM,0.9764996549931778,0.18615222597092423,0.0852336606320341,0.0,1.5,30,10,500
1,LE,0.9743294202756129,0.18680100514432038,0.09024592040470347,0.0,1.5,30,10,500
0,DM,0.9615335801302742,0.25228528800683286,0.10474449682020015,0.0,1.5,31,10,500
1,LE,0.9592857913713828,0.256059527515627,0.10858647166078944,0.0,1.5,31,10,500
0,DM,0.9812916383897716,0.1755466372383269,0.07308967920419156,0.0,1.5,32,10,500
1,LE,0.9814576627910544,0.17431721313050774,0.07441565548365338,0.0,1.5,32,10,500
0,DM,0.9829659347173388,0.1598395735540695,0.07490999157735156,0.0,1.5,33,10,500
1,LE,0.9829014003421385,0.16188271664383128,0.07783329758885746,0.0,1.5,33,10,500
0,DM,0.9856124678507576,0.1474924731178865,0.0754390167509448,0.0,1.5,34,10,500
1,LE,0.9857275684125673,0.15106565556598583,0.07779024688188452,0.0,1.5,34,10,500
0,DM,0.9808132955975106,0.1715292242140724,0.07184876999710173,0.0,1.5,35,10,500
1,LE,0.9807841619329022,0.17123657178741244,0.07386444745875029,0.0,1.5,35,10,500
0,DM,0.9776915218854203,0.18870580586490357,0.07575772652684507,0.0,1.5,36,10,500
1,LE,0.9776150884214603,0.18596191553876953,0.07836228139888127,0.0,1.5,36,10,500
0,DM,0.9634280307570424,0.2435843885850547,0.13112878487453117,0.0,1.5,37,10,500
1,LE,0.9610905364587357,0.24679081400458477,0.13707104203863496,0.0,1.5,37,10,500
0,DM,0.9831467316398683,0.16279930759601574,0.07192660515337664,0.0,1.5,38,10,500
1,LE,0.9831676248663597,0.16238723540160815,0.07190661165598855,0.0,1.5,38,10,500
0,DM,0.9818615909451592,0.1600147445944315,0.076223153455001,0.0,1.5,39,10,500
1,LE,0.9814741566408987,0.16131334858301646,0.07751198229126569,0.0,1.5,39,10,500
0,DM,0.9858380173466098,0.1430813389564024,0.07577664400487798,0.0,1.5,40,10,500
1,LE,0.9860453078036683,0.14465041592177938,0.07925472977995542,0.0,1.5,40,10,500
0,DM,0.9730591293690666,0.21820254947868384,0.08314217023348741,0.0,1.5,41,10,500
1,LE,0.9739532335174829,0.2149356618986951,0.08561097717012549,0.0,1.5,41,10,500
0,DM,0.9815800835934504,0.16756798339504037,0.07865021659556473,0.0,1.5,42,10,500
1,LE,0.9805989071794313,0.17305715836337957,0.08290815463961033,0.0,1.5,42,10,500
0,DM,0.92702063066649,0.3422501652025739,0.15364974628045322,0.0,1.5,43,10,500
1,LE,0.9300735888368922,0.33415406157407673,0.1579257671683547,0.0,1.5,43,10,500
0,DM,0.9800787354134681,0.16953419766594116,0.0759155680310049,0.0,1.5,44,10,500
1,LE,0.9795863235603883,0.17390623549107198,0.08341249631878563,0.0,1.5,44,10,500
