,Method,aligned_circular_agreement,mean_abs_wrapped_error,radius_cv,noise,density_ratio,seed,k,n_points
1,LE,0.5113413553700318,0.8581671479926094,0.09511025943702826,0.0,1.5,44,10,500
0,DM,0.9760296924064994,0.20965609137385566,0.08815965323895338,0.0,1.5,45,10,500
1,LE,0.5469736597848307,0.837981082460293,0.12201417697652109,0.0,1.5,45,10,500
0,DM,0.9718644813617682,0.2064195079198516,0.08312861327930995,0.0,1.5,46,10,500
1,LE,0.4835470754072918,0.9568801505461436,0.16078116728042963,0.0,1.5,46,10,500
0,DM,0.9864437854352426,0.13173560014606525,0.0812227227614152,0.0,1.5,47,10,500
1,LE,0.5377416758167426,0.8156314594211523,0.11935415878544339,0.0,1.5,47,10,500
0,DM,0.9812201191718712,0.17126500011594328,0.08672915859056651,0.0,1.5,48,10,500
1,LE,0.4745783797842041,0.9618104133353857,0.12234289952124704,0.0,1.5,48,10,500
0,DM,0.9818889568137815,0.1612789109162959,0.07328590130364679,0.0,1.5,49,10,500
1,LE,0.5390037507629777,0.8332185140865791,0.07899930993552995,0.0,1.5,49,10,500
0,DM,0.9617901408524006,0.23602872337290773,0.07434855376131404,0.0,2.0,0,10,500
1,LE,0.5178063415495902,0.8887786913747766,0.08331920582241294,0.0,2.0,0,10,500
0,DM,0.9636407921850632,0.22341005503364517,0.08731305811461504,0.0,2.0,1,10,500
1,LE,0.4842146863141521,0.9651193054076446,0.11847039921402652,0.0,2.0,1,10,500
0,DM,0.9500975548404954,0.27661901568744834,0.07383121627866505,0.0,2.0,2,10,500
1,LE,0.4865326807670034,0.9200727323117642,0.12007729128703928,0.0,2.0,2,10,500
0,DM,0.9478969556628865,0.2897543855999233,0.07570002287566917,0.0,2.0,3,10,500
1,LE,0.5032950010894864,0.9007647721049661,0.09391705079190996,0.0,2.0,3,10,500
0,DM,0.9493872911308189,0.2747361362573013,0.08830470249180744,0.0,2.0,4,10,500
1,LE,0.4505771800844749,0.9696988732965164,0.11126571499501832,0.0,2.0,4,10,500
0,DM,0.9503633321328319,0.24863736535376849,0.10578160380637362,0.0,2.0,5,10,500
1,LE,0.5798146139927451,0.7537474729163237,0.19496453739498149,0.0,2.0,5,10,500
0,DM,0.957118769063814,0.242289533477766,0.09673674391618606,0.0,2.0,6,10,500
1,LE,0.5305645045329332,0.8678959338748818,0.17966181345669657,0.0,2.0,6,10,500
0,DM,0.9502879725260907,0.2624326547986455,0.08614880238592323,0.0,2.0,7,10,500
1,LE,0.5646991935567623,0.8100991081143983,0.15873318824523922,0.0,2.0,7,10,500
0,DM,0.9513645597725904,0.2593885045917033,0.15404102401594402,0.0,2.0,8,10,500
1,LE,0.6685686986708883,0.7014561677017773,0.1815651874630514,0.0,2.0,8,10,500
0,DM,0.9322039748716593,0.29525321814705763,0.13901725183564992,0.0,2.0,9,10,500
1,LE,0.709975374138234,0.6356424247696925,0.16034305535467222,0.0,2.0,9,10,500
0,DM,0.9371179871422245,0.3075014977174717,0.08674079761009718,0.0,2.0,10,10,500
1,LE,0.532801328785683,0.8552911921452925,0.10913053980731777,0.0,2.0,10,10,500
0,DM,0.9539866683187438,0.2612819608557216,0.07848057482426109,0.0,2.0,11,10,500
1,LE,0.5322621327151031,0.8360534528287347,0.11673695147747637,0.0,2.0,11,10,500
0,DM,0.9619029079923609,0.23203119756608498,0.07373245751006761,0.0,2.0,12,10,500
1,LE,0.47868578951154256,0.9587626918402782,0.08576365896295343,0.0,2.0,12,10,500
0,DM,0.9533993278163557,0.26134873628861616,0.07622393293779299,0.0,2.0,13,10,500
1,LE,0.4616062169210092,0.9407356198263888,0.09912484574426593,0.0,2.0,13,10,500
0,DM,0.9494705901688357,0.27985482705072195,0.0754040168704622,0.0,2.0,14,10,500
1,LE,0.4823520767137337,0.9544701234073959,0.09993105653539368,0.0,2.0,14,10,500
0,DM,0.9462288326227084,0.29212389253075693,0.07399391142255966,0.0,2.0,15,10,500
1,LE,0.5184658299720841,0.8805492423552104,0.1021867973353989,0.0,2.0,15,10,500
0,DM,0.9527389124017188,0.2680124344429364,0.07218202833576884,0.0,2.0,16,10,500
1,LE,0.5350828578434309,0.861017782497449,0.1398478075035516,0.0,2.0,16,10,500
0,DM,0.9485560859103873,0.2769111822953932,0.07902734375851414,0.0,2.0,17,10,500
1,LE,0.4685371569556085,0.9413360612274557,0.09326998625446876,0.0,2.0,17,10,500
0,DM,0.9535806946217186,0.2529941957446278,0.10984383515966196,0.0,2.0,18,10,500
1,LE,0.5818211469513515,0.7500777413216767,0.1348397225669355,0.0,2.0,18,10,500
0,DM,0.9642698978893492,0.224282699301938,0.11002243128485073,0.0,2.0,19,10,500
1,LE,0.522507216541203,0.8499061581700627,0.15142302073346345,0.0,2.0,19,10,500
0,DM,0.9514290609514046,0.2736890862742715,0.07181972267963346,0.0,2.0,20,10,500
1,LE,0.527582805808415,0.859628496480916,0.13219918988951365,0.0,2.0,20,10,500
0,DM,0.9605852223562906,0.2431850214456422,0.07684450806445933,0.0,2.0,21,10,500
1,LE,0.46846113058544536,0.9493547545415781,0.1590269613253041,0.0,2.0,21,10,500
0,DM,0.9491106587123394,0.2504284115868877,0.14653758319533888,0.0,2.0,22,10,500
1,LE,0.6153485419302626,0.7808700290711454,0.17629956972622904,0.0,2.0,22,10,500
0,DM,0.9561010896326367,0.25736962600901186,0.07913119472950185,0.0,2.0,23,10,500
1,LE,0.4816121644919567,0.9002616922743476,0.09365129141871834,0.0,2.0,23,10,500
0,DM,0.9605621288259303,0.25392293082862866,0.08328963899119009,0.0,2.0,24,10,500
1,LE,0.539548601616289,0.831795492475477,0.11703887273432619,0.0,2.0,24,10,500
0,DM,0.9495836245882708,0.2812990165489758,0.07588668586616686,0.0,2.0,25,10,500
1,LE,0.5690548952565361,0.8076934838320026,0.10020861416085179,0.0,2.0,25,10,500
0,DM,0.9567848613838031,0.24913782734110998,0.0787480860980405,0.0,2.0,26,10,500
1,LE,0.4675017352202942,0.9821073041423936,0.09553367642633011,0.0,2.0,26,10,500
0,DM,0.9604190172318382,0.2441963750836248,0.07620505818005906,0.0,2.0,27,10,500
1,LE,0.4516114058024551,0.9771435102958727,0.10293711746233124,0.0,2.0,27,10,500
0,DM,0.94600169087328,0.2889576073805841,0.07397212718445753,0.0,2.0,28,10,500
1,LE,0.523415609892738,0.8804458328420841,0.14623866706805655,0.0,2.0,28,10,500
0,DM,0.9551835115195109,0.2648942146009788,0.11941091911572604,0.0,2.0,29,10,500
1,LE,0.5691851546923133,0.8171655453491412,0.1573642639351124,0.0,2.0,29,10,500
0,DM,0.953295940454265,0.2633422931742874,0.0798479058531479,0.0,2.0,30,10,500
1,LE,0.5151586685246072,0.8334820732293151,0.09761845012716505,0.0,2.0,30,10,500
0,DM,0.9424136657577994,0.2782985195722198,0.1017391300071887,0.0,2.0,31,10,500
1,LE,0.5583459596082355,0.8446980444173632,0.11652888556085056,0.0,2.0,31,10,500
0,DM,0.9558412477035788,0.2645241356526392,0.07660430690024907,0.0,2.0,32,10,500
1,LE,0.5577565874795767,0.8032907280291981,0.08150197720678812,0.0,2.0,32,10,500
0,DM,0.9496221136170998,0.2756799062678998,0.0739692305880252,0.0,2.0,33,10,500
1,LE,0.4593563778764519,0.9664736992929204,0.08632886433620617,0.0,2.0,33,10,500
0,DM,0.9537920074269078,0.26844304278403125,0.07551453916864492,0.0,2.0,34,10,500
1,LE,0.48123605218913496,0.9313935140758826,0.0892219853379863,0.0,2.0,34,10,500
0,DM,0.951907589393705,0.27423309908519194,0.07585864345026402,0.0,2.0,35,10,500
1,LE,0.48384170216778727,0.9602309512762156,0.08213822850092749,0.0,2.0,35,10,500
