,G1.S,S,G2,G2.M,M.G1
178,,,WISP1,SRD5A1,
179,,,WSB1,SRF,
180,,,ZNF587,SRSF3,
181,,,ZNHIT2,SS18,
182,,,,STAT5B,
183,,,,SUV420H1,
184,,,,TACC3,
185,,,,TFF3,
186,,,,TGIF1,
187,,,,THRAP3,
188,,,,TLE3,
189,,,,TMCO4,
190,,,,TMEM138,
191,,,,TNFAIP8L1,
192,,,,TNPO1,
193,,,,TOMM34,
194,,,,TPX2,
195,,,,TRIP13,
196,,,,TSG101,
197,,,,TSKU,
198,,,,TSN,
199,,,,TTK,
200,,,,TUBB4B,
201,,,,TXNDC9,
202,,,,TXNRD1,
203,,,,UBE2D3,
204,,,,USP13,
205,,,,USP16,
206,,,,VANGL1,
207,,,,VCAM1,
208,,,,WIBG,
209,,,,WSB1,
210,,,,YWHAH,
211,,,,ZC3HC1,
212,,,,ZFX,
213,,,,ZMYM1,
214,,,,ZNF207,
215,,,,ZNF521,
